Date,Sydney(SYDD),Melbourne (MELD),Brisbane inc Gold Coast (BRID),Adelaide (ADED),Perth (PERD),5 Cap City Aggregate (AUSD)
2023-02-22,186.39,158.01,143.16,166.39,109.27,159.15
2023-02-21,186.26,157.93,143.15,166.32,109.31,159.07
2023-02-20,186.24,157.93,143.21,166.48,109.35,159.09
2023-02-19,186.20,157.94,143.17,166.49,109.35,159.07
2023-02-18,186.15,157.96,143.12,166.62,109.43,159.07
2023-02-17,186.22,157.96,143.14,166.49,109.40,159.09
2023-02-16,186.28,158.01,143.20,166.49,109.39,159.13
2023-02-15,186.13,157.97,143.21,166.48,109.37,159.06
2023-02-14,185.99,157.93,143.16,166.45,109.36,158.99
2023-02-13,186.01,158.01,143.17,166.49,109.39,159.03
2023-02-12,186.00,158.05,143.22,166.52,109.34,159.02
2023-02-11,185.92,158.07,143.23,166.37,109.31,158.99
2023-02-10,185.92,158.06,143.30,166.46,109.34,159.01
2023-02-09,185.96,158.09,143.35,166.53,109.38,159.05
2023-02-08,185.89,158.08,143.40,166.44,109.32,159.01
2023-02-07,185.76,158.09,143.40,166.41,109.29,158.96
2023-02-06,185.84,158.15,143.42,166.55,109.33,159.03
2023-02-05,185.80,158.24,143.40,166.61,109.44,159.05
2023-02-04,185.84,158.31,143.45,166.60,109.42,159.09
2023-02-03,185.94,158.39,143.51,166.58,109.43,159.16
2023-02-02,186.02,158.43,143.57,166.57,109.44,159.21
2023-02-01,186.08,158.48,143.60,166.55,109.42,159.25
2023-01-31,186.08,158.55,143.64,166.54,109.42,159.27
2023-01-30,186.17,158.64,143.72,166.59,109.37,159.34
2023-01-29,186.21,158.70,143.80,166.66,109.40,159.39
2023-01-28,186.27,158.70,143.86,166.86,109.42,159.44
2023-01-27,186.32,158.84,143.87,166.87,109.45,159.50
2023-01-26,186.47,158.90,143.95,166.91,109.43,159.58
2023-01-25,186.45,158.96,143.96,166.96,109.40,159.59
2023-01-24,186.48,158.96,143.98,166.99,109.43,159.62
2023-01-23,186.56,159.00,144.01,167.15,109.46,159.68
2023-01-22,186.68,159.09,144.13,167.15,109.47,159.75
2023-01-21,186.77,159.10,144.20,167.35,109.60,159.83
2023-01-20,186.83,159.17,144.27,167.35,109.57,159.89
2023-01-19,186.89,159.24,144.32,167.39,109.62,159.95
2023-01-18,186.93,159.29,144.34,167.35,109.67,159.98
2023-01-17,187.01,159.35,144.38,167.39,109.65,160.03
2023-01-16,187.10,159.45,144.43,167.43,109.66,160.11
2023-01-15,187.13,159.49,144.49,167.50,109.75,160.16
2023-01-14,187.22,159.60,144.57,167.57,109.71,160.24
2023-01-13,187.33,159.63,144.67,167.71,109.74,160.31
2023-01-12,187.44,159.69,144.74,167.73,109.70,160.38
2023-01-11,187.51,159.74,144.76,167.73,109.69,160.42
2023-01-10,187.62,159.79,144.82,167.74,109.68,160.49
2023-01-09,187.72,159.86,144.91,167.80,109.66,160.55
2023-01-08,187.82,159.88,144.99,167.84,109.75,160.62
2023-01-07,187.89,159.93,145.08,167.85,109.73,160.68
2023-01-06,187.98,160.01,145.17,167.82,109.71,160.74
2023-01-05,188.09,160.06,145.25,167.90,109.70,160.81
2023-01-04,188.15,160.11,145.28,167.88,109.72,160.86
2023-01-03,188.23,160.13,145.32,167.84,109.71,160.90
2023-01-02,188.31,160.19,145.38,167.89,109.75,160.96
2023-01-01,188.37,160.24,145.43,167.86,109.70,161.00
2022-12-31,188.44,160.29,145.48,167.84,109.73,161.04
2022-12-30,188.54,160.33,145.53,167.90,109.72,161.10
2022-12-29,188.59,160.41,145.54,167.82,109.70,161.14
2022-12-28,188.74,160.42,145.56,167.82,109.67,161.20
2022-12-27,188.78,160.44,145.63,167.92,109.67,161.23
2022-12-26,188.98,160.44,145.67,168.00,109.63,161.31
2022-12-25,189.01,160.54,145.63,168.06,109.62,161.35
2022-12-24,189.05,160.56,145.92,168.19,109.66,161.44
2022-12-23,189.06,160.61,145.85,168.25,109.69,161.44
2022-12-22,189.08,160.65,145.89,168.25,109.68,161.47
2022-12-21,189.11,160.62,145.94,168.24,109.68,161.48
2022-12-20,189.19,160.71,145.93,168.28,109.65,161.52
2022-12-19,189.26,160.78,146.02,168.34,109.71,161.60
2022-12-18,189.30,160.86,146.08,168.45,109.66,161.64
2022-12-17,189.47,160.92,146.20,168.51,109.63,161.73
2022-12-16,189.61,161.03,146.29,168.42,109.61,161.82
2022-12-15,189.81,161.11,146.41,168.57,109.63,161.94
2022-12-14,189.84,161.15,146.47,168.52,109.63,161.97
2022-12-13,189.90,161.31,146.56,168.46,109.63,162.05
2022-12-12,190.07,161.41,146.63,168.53,109.66,162.17
2022-12-11,190.16,161.48,146.79,168.53,109.58,162.23
2022-12-10,190.24,161.58,146.90,168.62,109.45,162.29
2022-12-09,190.37,161.64,146.99,168.70,109.45,162.37
2022-12-08,190.39,161.78,147.13,168.67,109.48,162.43
2022-12-07,190.59,161.94,147.19,168.57,109.46,162.55
2022-12-06,190.59,161.94,147.19,168.57,109.46,162.55
2022-12-05,190.69,162.00,147.23,168.61,109.54,162.63
2022-12-04,190.82,162.05,147.32,168.60,109.53,162.70
2022-12-03,190.91,162.11,147.37,168.59,109.54,162.76
2022-12-02,191.02,162.14,147.46,168.55,109.58,162.83
2022-12-01,191.11,162.25,147.59,168.58,109.57,162.91
2022-11-30,191.19,162.30,147.60,168.54,109.57,162.95
2022-11-29,191.22,162.37,147.75,168.43,109.52,162.99
2022-11-28,191.43,162.38,147.81,168.46,109.47,163.08
2022-11-27,191.56,162.50,147.84,168.51,109.48,163.17
2022-11-26,191.67,162.64,147.87,168.60,109.47,163.25
2022-11-25,191.78,162.72,147.96,168.69,109.46,163.33
2022-11-24,191.87,162.78,148.08,168.66,109.47,163.41
2022-11-23,191.89,162.74,148.27,168.61,109.53,163.45
2022-11-22,191.92,162.80,148.25,168.59,109.54,163.48
2022-11-21,191.98,162.82,148.37,168.64,109.50,163.52
2022-11-20,192.14,162.90,148.52,168.64,109.51,163.63
2022-11-19,192.11,163.01,148.69,168.61,109.49,163.68
2022-11-18,192.26,163.03,148.81,168.66,109.52,163.76
2022-11-17,192.33,163.01,148.89,168.65,109.48,163.79
2022-11-16,192.50,162.96,148.97,168.66,109.53,163.86
2022-11-15,192.47,163.02,149.01,168.69,109.54,163.87
2022-11-14,192.66,163.08,149.09,168.74,109.53,163.97
2022-11-13,192.69,163.16,149.21,168.74,109.51,164.02
2022-11-12,192.82,163.15,149.32,168.99,109.48,164.09
2022-11-11,192.99,163.19,149.43,169.02,109.49,164.18
2022-11-10,193.07,163.29,149.53,169.02,109.50,164.26
2022-11-09,193.04,163.28,149.58,169.05,109.48,164.25
2022-11-08,192.97,163.28,149.70,169.02,109.50,164.25
2022-11-07,192.98,163.33,149.90,169.04,109.48,164.29
2022-11-06,193.13,163.40,149.99,169.09,109.51,164.39
2022-11-05,193.24,163.41,150.09,169.10,109.57,164.46
2022-11-04,193.42,163.46,150.17,169.11,109.52,164.55
2022-11-03,193.57,163.53,150.24,169.14,109.50,164.63
2022-11-02,193.62,163.56,150.25,169.09,109.50,164.66
2022-11-01,193.65,163.56,150.26,169.04,109.48,164.67
2022-10-31,193.71,163.61,150.31,169.01,109.53,164.72
2022-10-30,193.85,163.66,150.38,169.04,109.57,164.80
2022-10-29,193.91,163.72,150.45,169.09,109.51,164.85
2022-10-28,193.83,163.74,150.57,169.11,109.56,164.85
2022-10-27,193.99,163.69,150.59,169.10,109.53,164.90
2022-10-26,194.15,163.67,150.62,169.09,109.56,164.96
2022-10-25,194.14,163.59,150.69,169.09,109.56,164.95
2022-10-24,194.19,163.63,150.76,169.15,109.59,165.00
2022-10-23,194.32,163.65,151.03,169.31,109.63,165.10
2022-10-22,194.44,163.70,151.09,169.36,109.63,165.17
2022-10-21,194.51,163.79,151.23,169.31,109.63,165.24
2022-10-20,194.54,163.83,151.36,169.35,109.65,165.29
2022-10-19,194.66,163.86,151.38,169.32,109.62,165.35
2022-10-18,194.64,163.93,151.41,169.28,109.60,165.36
2022-10-17,194.72,164.04,151.46,169.35,109.68,165.44
2022-10-16,194.87,164.11,151.58,169.34,109.75,165.54
2022-10-15,194.88,164.21,151.75,169.24,109.84,165.61
2022-10-14,195.06,164.27,151.89,169.56,109.82,165.73
2022-10-13,195.17,164.29,151.92,169.55,109.85,165.79
2022-10-12,195.23,164.33,151.96,169.48,109.84,165.82
2022-10-11,195.23,164.41,152.05,169.50,109.84,165.87
